Owner,n_plants,n_operating_plants,total_capacity_ttpa,pipeline_capacity_ttpa,n_countries,n_regions,countries,main_region,median_plant_age_years,n_plants_with_litpop,avg_litpop_nearest_usd,avg_litpop_25km_usd,capacity_weighted_litpop_25km_usd,litpop_coverage_share,bof_share,centroid_lat,centroid_lon,largest_plant,largest_plant_lat,largest_plant_lon,max_distance_to_centroid_km,centroid_to_largest_plant_km
Hebei Xinwuan Iron and Steel Group Co Ltd,1,0,0.0,10000.0,1,1,Malaysia,Asia Pacific,,0,,,,0.0,,3.586453,113.359851,Hebei Xin Wu an Steel Malaysia plant,3.586453,113.359851,0.0,0.0
Anyang Huixin Special Steel Co Ltd,1,0,0.0,0.0,1,1,China,Asia Pacific,21.0,1,3691623504.775808,75964836221.13367,,1.0,,36.152418,114.15839,Anyang Huixin Special Steel Co Ltd,36.152418,114.15839,0.0,0.0
Hebei Tianzhu IRON&STEEL (GROUP) Co Ltd,1,0,0.0,0.0,1,1,China,Asia Pacific,19.5,1,4568324809.945682,144001359518.67664,,1.0,,39.803523999999996,118.205663,Hebei Tianzhu Iron and Steel Group Co Ltd Fengrun Plant,39.803524,118.205663,7.073240659849489e-13,7.073240659849489e-13
Xiwang METAL Science Technology Co Ltd,1,0,0.0,0.0,1,1,China,Asia Pacific,14.01,1,1079457394.0062003,43933464738.779526,,1.0,,36.928208,117.69465400000001,Xiwang Metal Science Technology Co Ltd,36.928208,117.694654,0.0,0.0
Tianjin Rongcheng Group Tangshan Special Steel Co Ltd,1,0,0.0,0.0,1,1,China,Asia Pacific,21.0,1,9710283612.501226,134035400903.13374,,1.0,,39.551552,118.13799300000001,Tianjin Rongcheng Group Tangshan Special Steel Co Ltd,39.551552,118.137993,0.0,0.0
Wuxi Xinsanzhou Special Steel Co Ltd,1,0,0.0,0.0,1,1,China,Asia Pacific,39.84,1,11935089663.247892,449267726416.33374,,1.0,,31.681005,120.25178500000001,Wuxi Xinsanzhou Steel Co Ltd,31.681005,120.251785,0.0,0.0
Arvand Kaveh Steel Co,1,0,0.0,2000.0,1,1,Iran,Middle East,,0,,,,0.0,,30.505458,48.272024,Arvand Kaveh Steel Khoramshahr plant,30.505458,48.272024,0.0,0.0
Hebei Xinghua Iron and Steel Co Ltd,1,0,0.0,0.0,1,1,China,Asia Pacific,23.0,1,2791499561.2492723,23801981185.88883,,1.0,,36.744936,114.11160200000002,Hebei Xinghua Iron and Steel Co Ltd,36.744936,114.111602,1.133567014361383e-12,1.133567014361383e-12
Unitex Steel Mills Ltd,1,0,0.0,1000.0,1,1,Bangladesh,Asia Pacific,,0,,,,0.0,,22.945181999999996,91.512387,Unitex Steel Mills Feni steel plant,22.945182,91.512387,3.5366203299247443e-13,3.5366203299247443e-13
Anyang Xinpu Steel Co Ltd,1,0,0.0,0.0,1,1,China,Asia Pacific,20.41,1,17037663839.757977,85188376036.4182,,1.0,,36.163203,114.296223,Anyang Xinpu Steel Co Ltd,36.163203,114.296223,0.0,0.0
Abba Steel Ltd,1,0,0.0,3000.0,1,1,Namibia,Africa,1.0,0,,,,0.0,,-17.397866,15.891022,Abba Steel Ohangwena steel plant,-17.397866,15.891022,0.0,0.0
Huarui (Handan) Casting & Pipe Co Ltd,1,0,0.0,0.0,1,1,China,Asia Pacific,21.89,1,1340340843.3454995,30115898352.91372,,1.0,,36.561049,114.102793,Huarui (Handan) Casting & Pipe Co Ltd,36.561049,114.102793,0.0,0.0
Tianjin Metallurgy Group Zhasan Steel Co Ltd,1,0,0.0,0.0,1,1,China,Asia Pacific,11.3,1,805190129.0529438,66353473243.631996,,1.0,,38.825269,117.08849000000001,Tianjin Metallurgy Group Zhasan Steel Co Ltd,38.825269,117.08849,0.0,0.0
Honghe Iron and Steel Co Ltd,1,0,0.0,0.0,1,1,China,Asia Pacific,17.92,1,1145833787.5269697,13576165467.684381,,1.0,,23.470733000000003,103.272784,WISCO Group Kunming Steel Co Ltd Honghe Iron and Steel Company,23.470733,103.272784,3.5366203299247443e-13,3.5366203299247443e-13
ArcelorMittal SA; Société Nationale Industrielle et Minière SA,1,0,0.0,2500.0,1,1,Mauritania,Africa,,0,,,,0.0,,19.513798999999995,-10.553879,ArcelorMittal Mauritania green steel plant,19.513799,-10.553879,3.5366203299247443e-13,3.5366203299247443e-13
JSW Utkal Steel Ltd,1,0,0.0,13500.0,1,1,India,Asia Pacific,0.0,1,105160684.6244372,2838087446.0827904,,1.0,,20.216667000000005,86.55,JSW Utkal Steel Rajnagar plant,20.216667,86.55,7.073240659849489e-13,7.073240659849489e-13
Tangshan Fengnan Kaiheng Iron & Steel Co Ltd,1,0,0.0,0.0,1,1,China,Asia Pacific,21.0,1,307330756.7732362,103438117699.62515,,1.0,,39.46320000000001,118.24719100000002,Tangshan Fengnan Kaiheng Iron and Steel Co Ltd,39.4632,118.247191,7.073240659849489e-13,7.073240659849489e-13
Meghna Re-rolling and Steel Mills Ltd,1,0,0.0,1400.0,1,1,Bangladesh,Asia Pacific,,0,,,,0.0,,23.585487,90.648875,Meghna Re-rolling and Steel Mills steel plant,23.585487,90.648875,0.0,0.0
Moldova Steel Works JSC,1,0,0.0,0.0,1,1,Moldova,Europe,41.0,0,,,,0.0,,47.78377100000001,29.028350000000003,JSC Moldova Steel Works,47.783771,29.02835,7.073240659849489e-13,7.073240659849489e-13
Mitsui-Kobe Steel JV,1,0,0.0,0.0,1,1,Oman,Middle East,,0,,,,0.0,,19.529594,57.61573,Mitsui-Kobe Duqm DRI plant,19.529594,57.61573,0.0,0.0
Mintal Group Co Ltd,1,0,0.0,0.0,1,1,China,Asia Pacific,,1,38453234.3149022,168370018.92432025,,1.0,,41.7915,109.865367,Mintal Group DRI plant,41.7915,109.865367,0.0,0.0
Mikhailovsky HBI LLC,1,0,0.0,0.0,1,1,Russia,Eurasia,,0,,,,0.0,,52.360448,35.39731400000001,Metalloinvest Mikhailovsky HBI plant,52.360448,35.397314,4.319571103267997e-13,4.319571103267997e-13
Mianeh Steel,1,0,0.0,800.0,1,1,Iran,Middle East,9.0,0,,,,0.0,,37.37881000000001,47.736689,Miyaneh Steel East Azerbaijan steel plant,37.37881,47.736689,7.073240659849489e-13,7.073240659849489e-13
Metinvest Holding LLC,1,0,0.0,0.0,1,1,Ukraine,Europe,,0,,,,0.0,,49.039389,31.332628,Metinvest EAF steel plant,49.039389,31.332628,0.0,0.0
Metinvest Adria SpA,1,0,0.0,3000.0,1,1,Italy,Europe,,0,,,,0.0,,42.93652,10.537794000000002,Metinvest Piombino steel plant,42.93652,10.537794,1.2945955433263566e-13,1.2945955433263566e-13
Mesabi Mining LLC,1,0,0.0,0.0,1,1,United States,North America,0.0,0,,,,0.0,,47.383441000000005,-93.219413,Mesabi Metallics Nashwuak HBI plant,47.383441,-93.219413,7.073240659849489e-13,7.073240659849489e-13
Meranti Steel Pte Ltd,2,0,0.0,2500.0,2,2,"Oman, Thailand",Middle East,,0,,,,0.0,,17.330706766472886,79.81144755598156,Meranti Green Steel Duqm DRI plant,19.635815,57.670697,2347.2920722368644,2347.2920722368644
Megasteel Sdn Bhd,1,0,0.0,0.0,1,1,Malaysia,Asia Pacific,96.0,0,,,,0.0,,2.8072653,101.6055808,Lion Industries Megasteel plant,2.8072653,101.6055808,0.0,0.0
