Owner,n_plants,n_operating_plants,total_capacity_ttpa,pipeline_capacity_ttpa,n_countries,n_regions,countries,main_region,median_plant_age_years,n_plants_with_litpop,avg_litpop_nearest_usd,avg_litpop_25km_usd,capacity_weighted_litpop_25km_usd,litpop_coverage_share,bof_share,centroid_lat,centroid_lon,largest_plant,largest_plant_lat,largest_plant_lon,max_distance_to_centroid_km,centroid_to_largest_plant_km
Nippon Steel Corp,10,8,44423.0,2500.0,1,1,Japan,Asia Pacific,70.87,10,13035898661.493433,257528786379.0857,319517129600.1745,1.0,0.9616640028813903,35.07849765458107,136.21930017409957,Nippon East Japan Works (Kimitsu) steel plant,35.360912,139.881953,907.4673250673743,334.1760917577561
POSCO Holdings Inc,2,2,41757.0,5000.0,1,1,South Korea,Asia Pacific,46.0,0,,,,0.0,0.9675024546782576,35.41214176111148,128.4824820163093,POSCO Gwangyang steel plant,34.920086,127.74865,105.78125456227751,86.27393574330215
Angang Steel Co Ltd,3,3,30250.0,0.0,1,1,China,Asia Pacific,20.0,3,17992253793.146187,74041047571.84367,128072046899.5572,1.0,1.0,40.96863665579766,122.58983575679623,Angang Steel Co Ltd,41.148267,122.983054,195.75693350700095,38.54802508889595
JFE Steel Corp,5,4,28768.0,2000.0,1,1,Japan,Asia Pacific,61.0,5,78559959627.55774,890055524489.1858,206868809109.7699,1.0,0.9559580088987765,34.80987453145635,134.87487581438216,JFE West Japan Works (Fukuyama) steel plant,34.465222,133.431205,669.3629767210692,137.52367486865444
JSW Steel Ltd,5,4,28359.0,31500.0,1,1,India,Asia Pacific,30.0,5,390503654.86848414,4461305434.650757,4412760509.52387,1.0,0.5874325610917169,17.489163020134434,76.6855698009084,JSW Steel Vijayanagar steel plant,15.180423,76.663134,903.3109670660399,256.73169249720894
Tata Steel Ltd,6,5,26460.0,8370.0,2,1,"India, Singapore",Asia Pacific,55.0,5,1952889413.1808407,15876852892.778147,13955362893.056187,0.8333333333333334,0.8314436885865457,21.255041879926644,86.46710222124452,Tata Steel Jamshedpur steel plant,22.788598,86.1996,2900.0934902362396,172.7388183121284
Hyundai Steel Co,4,3,24297.0,2700.0,2,2,"South Korea, United States",Asia Pacific,46.5,0,,,,0.0,0.5185825410544511,36.95000234829964,127.06653906656175,Hyundai Steel Dangjin steel plant,36.986282,126.69735,11504.886442786154,33.04645624435695
Cleveland-Cliffs Inc,12,8,23655.0,0.0,2,1,"Canada, United States",North America,111.0,0,,,,0.0,0.904713591206933,41.40701936088983,-84.41745461300128,Cleveland-Cliffs Indiana Harbor steel plant,41.669553,-87.438429,741.3586097910878,253.11405083569895
Steel Authority of India Ltd,8,6,21350.0,35840.0,1,1,India,Asia Pacific,67.0,8,3249196970.62921,23408073014.266884,24605050712.24434,1.0,0.9765339578454333,22.56848300898877,84.55756864001886,SAIL Bhilai steel plant,21.185157,81.394207,360.83053202457944,360.83053202457944
Baoshan Iron & Steel Co Ltd,1,1,19800.0,0.0,1,1,China,Asia Pacific,49.0,1,72345769161.90762,1390784081982.4404,1390784081982.4404,1.0,0.8181818181818182,31.416229999999995,121.44008700000002,Baoshan Iron and Steel Co Ltd Headquarters,31.41623,121.440087,7.073240659849489e-13,7.073240659849489e-13
Nucor Corp,13,11,17737.0,3000.0,1,1,United States,North America,37.0,0,,,,0.0,0.0,37.1699777243397,-86.73340561792517,Nucor Steel Berkeley plant,33.004319,-79.880955,3114.0440262545685,776.3519365394167
Maanshan Iron & Steel Co Ltd,1,1,17340.0,1600.0,1,1,China,Asia Pacific,73.0,1,14161932205.740225,67473115662.355225,67473115662.35522,1.0,0.9521337946943483,31.698884000000003,118.468194,Maanshan Iron and Steel Co Ltd,31.698884,118.468194,0.0,0.0
Jiangsu Shagang Iron & Steel Co Ltd,1,1,17305.0,1000.0,1,1,China,Asia Pacific,23.6,1,5778523153.580064,157366677006.87448,157366677006.87448,1.0,0.7818549552152557,31.983146000000005,120.63899200000002,Jiangsu Shagang Iron & Steel Co Ltd,31.983146,120.638992,0.0,0.0
Inner Mongolia BaoTou Steel Union Co Ltd,1,1,16760.0,0.0,1,1,China,Asia Pacific,26.64,1,563557793.4713724,145202593779.9198,145202593779.9198,1.0,1.0,40.647997,109.740898,Inner Mongolia BaoTou Steel Union Co Ltd,40.647997,109.740898,0.0,0.0
Hunan Valin Lianyuan Iron and Steel Co Ltd,2,2,16250.0,0.0,1,1,China,Asia Pacific,68.0,2,4608518568.66061,59052718337.73062,54151311002.51453,1.0,1.0,27.778152452584944,112.38213996468814,Hunan Valin Lianyuan Iron and Steel Co Ltd,27.747782,111.967343,50.83866424633471,40.95321583162737
Wuhan Iron and Steel Co Ltd,2,1,15907.0,0.0,2,1,"China, Indonesia",Asia Pacific,67.44,1,13274108766.720098,792587500359.332,792587500359.332,0.5,1.0,30.616221999999993,114.444975,Wuhan Iron and Steel Co Ltd,30.616222,114.444975,4251.350880516008,7.073240659849489e-13
Magnitogorskiy Metallurgicheskiy Kombinat PJSC,1,1,14500.0,0.0,1,1,Russia,Eurasia,94.0,0,,,,0.0,0.7241379310344828,53.42759300000001,59.05412200000001,Magnitogorsk Iron and Steel Works,53.427593,59.054122,7.073240659849489e-13,7.073240659849489e-13
Hoa Phat Dung Quat Steel JSC,1,1,14499.0,0.0,1,1,Vietnam,Asia Pacific,9.0,0,,,,0.0,1.0,15.37768,108.793321,Hoa Phat Dung Quat steel plant,15.37768,108.793321,0.0,0.0
Novolipetsk Steel PJSC,1,1,14400.0,0.0,1,1,Russia,Eurasia,92.0,0,,,,0.0,1.0,52.557372,39.629574,NLMK Lipetsk steel plant,52.557372,39.629574,0.0,0.0
Baosteel Zhanjiang Iron & Steel Co Ltd,1,1,14328.0,0.0,1,1,China,Asia Pacific,15.0,1,1178377706.3453572,17735392319.652344,17735392319.652344,1.0,0.8743718592964824,21.056035000000005,110.48657,Baosteel Zhanjiang Iron and Steel Co Ltd,21.056035,110.48657,3.5366203299247443e-13,3.5366203299247443e-13
Shougang Jingtang United Iron & Steel Co Ltd,1,1,13700.0,0.0,1,1,China,Asia Pacific,21.0,1,102371633.8710309,409257805.6214823,409257805.6214823,1.0,1.0,38.953663999999996,118.50339,Shougang Jingtang United Iron and Steel Co Ltd,38.953664,118.50339,7.073240659849489e-13,7.073240659849489e-13
Bengang Steel Plates Co Ltd,1,1,13440.0,1500.0,1,1,China,Asia Pacific,28.65,1,10302505895.931911,41341080042.0156,41341080042.0156,1.0,0.9226190476190477,41.27413200000001,123.722099,Bengang Steel Plates Co Ltd,41.274132,123.722099,7.073240659849489e-13,7.073240659849489e-13
United States Steel Corp,6,4,13350.0,3000.0,1,1,United States,North America,124.0,0,,,,0.0,0.8801498127340824,40.15629675608896,-86.1307181488583,U.S. Steel Gary Works,41.620799,-87.348266,1753.9620032324806,192.33297404212587
Steel Dynamics Inc,6,6,12662.0,0.0,1,1,United States,North America,23.0,0,,,,0.0,0.0,36.15173153589066,-88.84047098321531,Steel Dynamics Columbus plant,33.44758,-88.572683,1213.230186410463,301.68041374566366
Shanxi Taigang Stainless Steel Co Ltd,1,1,12460.0,0.0,1,1,China,Asia Pacific,27.69,1,24668432523.352684,350657524309.1629,350657524309.1629,1.0,0.7062600321027287,37.931488,112.53932100000002,Shanxi Taigang Stainless Steel Co Ltd,37.931488,112.539321,1.1157985837532377e-12,1.1157985837532377e-12
Severstal PJSC,1,1,12201.0,0.0,1,1,Russia,Eurasia,71.0,0,,,,0.0,0.8032948119006639,59.143998,37.862950000000005,Severstal Cherepovets steel plant,59.143998,37.86295,3.627739118414801e-13,3.627739118414801e-13
Rizhao Steel Holding Group Co Ltd,1,1,11300.0,10350.0,1,1,China,Asia Pacific,22.77,1,784949051.4879102,17666682118.644394,17666682118.644394,1.0,1.0,35.16535,119.366672,Rizhao Steel Holding Group Co Ltd,35.16535,119.366672,0.0,0.0
Xinyu Iron & Steel Corp Ltd,1,1,11001.0,0.0,1,1,China,Asia Pacific,68.0,1,7022275672.93845,15455467882.228138,15455467882.228138,1.0,0.9090991728024725,27.786858999999996,114.921595,Xinyu Iron and Steel Group Co Ltd,27.786859,114.921595,3.5366203299247443e-13,3.5366203299247443e-13
Government of North Korea,4,4,10252.0,0.0,1,1,North Korea,Asia Pacific,86.0,0,,,,0.0,0.4389387436597737,41.12371785879275,128.81821822324397,Kim Chaek Iron and Steel Complex steel plant,41.753784,129.752681,380.2535908746495,104.76607949478672
Hebei Donghai SPECIAL Steel Group Co Ltd,1,1,10001.0,0.0,1,1,China,Asia Pacific,17.0,1,1222250055.6719754,75657011830.70213,75657011830.70213,1.0,1.0,39.610605,118.474722,Hebei Donghai Special Steel Co Ltd,39.610605,118.474722,0.0,0.0
Nanjing Iron & Steel Co Ltd,1,1,10000.0,0.0,1,1,China,Asia Pacific,68.0,1,11508667093.45597,555278339183.4594,555278339183.4594,1.0,1.0,32.200797,118.746315,Nanjing Iron and Steel Co Ltd,32.200797,118.746315,0.0,0.0
China Steel Corp,1,1,10000.0,1500.0,1,1,Taiwan,Asia Pacific,55.0,0,,,,0.0,1.0,22.555442000000003,120.349252,China Steel Xiaogang steel plant,22.555442,120.349252,3.5366203299247443e-13,3.5366203299247443e-13
Hebei Yanshan Iron and Steel Group Co Ltd,1,1,9990.0,0.0,1,1,China,Asia Pacific,24.0,1,4245679723.9297485,30114152964.391434,30114152964.391434,1.0,0.924924924924925,39.925508,118.672757,Hebei Yanshan Iron and Steel Group Co Ltd,39.925508,118.672757,0.0,0.0
Guangxi Shenglong Metallurgical Co Ltd,1,1,9783.0,1200.0,1,1,China,Asia Pacific,23.0,1,954514098.9683073,3098704254.2376404,3098704254.2376404,1.0,1.0,21.687637000000002,108.412344,Guangxi Shenglong Metallurgical Co Ltd,21.687637,108.412344,3.5366203299247443e-13,3.5366203299247443e-13
ArcelorMittal Nippon Steel India Ltd,5,1,9600.0,76900.0,1,1,India,Asia Pacific,31.0,5,1028284804.7500484,6416880978.998736,19900243936.643406,1.0,0.0,21.112377000000002,72.647304,ArcelorMittal Nippon Steel Hazira plant,21.112377,72.647304,1459.8181619840254,7.073240659849489e-13
ArcelorMittal SA,6,4,9600.0,0.0,5,4,"Belgium, India, Luxembourg, Morocco, United States",Europe,60.0,1,490816268.93993175,3857475973.8084636,,0.16666666666666666,0.5416666666666666,49.13982988055137,3.2904284119375906,ArcelorMittal Gent steel plant,51.169929,3.804462,8413.013263744917,228.68674406582946
Jindal Steel Limited Ltd,5,2,9600.0,17100.0,1,1,India,Asia Pacific,25.0,5,374314226.8259558,7117483337.8468275,6360486113.389304,1.0,0.3125,21.275936918731215,84.377650915113,Jindal Steel Angul steel plant,20.884896,84.991539,901.9673259694316,77.11968588031809
Liuzhou IRON&STEEL Co Ltd,1,1,9458.0,0.0,1,1,China,Asia Pacific,26.0,1,21236255107.045433,104398367841.42648,104398367841.42648,1.0,1.0,24.385304,109.37963,Liuzhou Iron and Steel Co Ltd Liuzhou Base,24.385304,109.37963,0.0,0.0
Thyssenkrupp Steel Europe AG,1,1,9000.0,0.0,1,1,Germany,Europe,135.0,0,,,,0.0,1.0,51.491649,6.733051,ThyssenKrupp Steel Duisburg steel plant,51.491649,6.733051,0.0,0.0
Evraz ZSMK JSC,1,1,8760.0,1141.0,1,1,Russia,Eurasia,94.0,0,,,,0.0,0.7488584474885844,53.88618,87.257618,Evraz ZSMK steel plant,53.88618,87.257618,0.0,0.0
SGIS Songshan Co Ltd,1,1,8698.0,0.0,1,1,China,Asia Pacific,29.0,1,2904267538.2436757,29190692279.237576,29190692279.237576,1.0,0.919521729133134,24.708232,113.635898,Guangdong Zhongnan Iron & Steel Co Ltd,24.708232,113.635898,0.0,0.0
Shandong IRON&STEEL Group Rizhao Co Ltd,1,1,8500.0,1300.0,1,1,China,Asia Pacific,17.0,1,784949051.4879102,17666682118.644394,17666682118.644394,1.0,1.0,35.188969,119.38372300000002,Shandong Iron and Steel Group Rizhao Co Ltd,35.188969,119.383723,0.0,0.0
Chongqing Iron & Steel Co Ltd,1,1,8400.0,0.0,1,1,China,Asia Pacific,29.0,1,3087923383.6047015,10693419120.529099,10693419120.529099,1.0,1.0,29.790253,107.040368,Chongqing Iron and Steel Co Ltd,29.790253,107.040368,0.0,0.0
Guangxi Iron and Steel Group Co Ltd,1,1,8400.0,0.0,1,1,China,Asia Pacific,6.0,1,226557645.65927386,2703849417.2216682,2703849417.2216682,1.0,1.0,21.580723,108.400896,Guangxi Iron and Steel Group Co Ltd Fangchenggang Iron & Steel Base,21.580723,108.400896,0.0,0.0
Beijing Shougang Co Ltd,1,1,8300.0,1300.0,1,1,China,Asia Pacific,24.0,1,1205952791.2560177,24484405433.029186,24484405433.029186,1.0,1.0,39.97670200000001,118.55878800000002,Shougang Qian an Iron and Steel Co Ltd,39.976702,118.558788,7.073240659849489e-13,7.073240659849489e-13
ArcelorMittal Brasil SA,6,6,8246.0,0.0,1,1,Brazil,Central & South America,56.5,0,,,,0.0,0.5149163230657289,-15.075377516632878,-42.36877434922515,ArcelorMittal Pecém steel plant,-3.585917,-38.858932,1334.1522894023897,1334.1522894023897
Lianfeng Steel (Zhangjiagang) Co Ltd,1,1,8240.0,1800.0,1,1,China,Asia Pacific,23.65,1,3289812339.6058364,175228176979.22418,175228176979.22418,1.0,0.8786407766990292,31.855204999999998,120.73050500000001,Lianfeng Steel Zhangjiagang Co Ltd,31.855205,120.730505,0.0,0.0
Chengde Street Ltd,1,1,8000.0,0.0,1,1,China,Asia Pacific,72.0,1,896245650.7992102,16077296505.116663,16077296505.116663,1.0,1.0,40.947707,117.719747,Chengde Iron and Steel Group Co Ltd,40.947707,117.719747,0.0,0.0
Acciaierie d'italia SpA,1,1,7800.0,6000.0,1,1,Italy,Europe,61.0,0,,,,0.0,1.0,40.508993,17.207589,Acciaierie d'Italia Taranto steel plant,40.508993,17.207589,0.0,0.0
Hebei Zongheng Group Fengnan Iron & Steel Co Ltd,1,1,7700.0,0.0,1,1,China,Asia Pacific,7.0,1,452880777.8970651,7927572715.797209,7927572715.797209,1.0,1.0,39.22256599999999,118.094201,Hebei Zongheng Group Fengnan Iron and Steel Co Ltd,39.222566,118.094201,7.073240659849489e-13,7.073240659849489e-13
Gansu Jiu Steel Group Hongxing Iron and Steel Co Ltd,1,1,7650.0,0.0,1,1,China,Asia Pacific,27.0,1,7871975322.062651,18033979039.417233,18033979039.417233,1.0,0.8431372549019608,39.812121,98.295555,Gansu Jiu Steel Group Hongxing Iron and Steel Co Ltd,39.812121,98.295555,0.0,0.0
Shanghai Meishan Iron & Steel Co Ltd,1,1,7600.0,0.0,1,1,China,Asia Pacific,57.0,1,3051454698.510215,433566185514.9951,433566185514.9951,1.0,1.0,31.902969000000002,118.61667000000001,Shanghai Meishan Iron and Steel Co Ltd,31.902969,118.61667,7.073240659849489e-13,7.073240659849489e-13
Formosa Ha Tinh Steel Corp,1,1,7500.0,14000.0,1,1,Vietnam,Asia Pacific,18.0,0,,,,0.0,1.0,18.036333,106.428271,Formosa Ha Tinh Steel plant,18.036333,106.428271,0.0,0.0
Cangzhou China Railway Equipment Manufacturing Materials Co Ltd,1,1,7500.0,0.0,1,1,China,Asia Pacific,20.0,1,477468708.0493724,5678661164.629005,5678661164.629005,1.0,1.0,38.289221,117.81436700000002,Cangzhou China Railway Equipment Manufacture Material Co Ltd,38.289221,117.814367,0.0,0.0
ArcelorMittal Tubarão Comercial SA,1,1,7500.0,0.0,1,1,Brazil,Central & South America,43.0,0,,,,0.0,1.0,-20.253447,-40.242298,ArcelorMittal Tubarão steel plant,-20.253447,-40.242298,0.0,0.0
Tata Steel Ijmuiden BV,1,1,7500.0,6000.0,1,1,Netherlands,Europe,108.0,0,,,,0.0,1.0,52.484118,4.615583999999999,Tata Steel IJmuiden steel plant,52.484118,4.615584,5.3843392723634385e-14,5.3843392723634385e-14
HBIS Laoting Steel Co Ltd,1,1,7450.0,4050.0,1,1,China,Asia Pacific,6.0,1,658638310.9064554,4478050340.044112,4478050340.044112,1.0,1.0,39.25782300000001,119.033567,Hbis Laoting Steel Co Ltd,39.257823,119.033567,7.073240659849489e-13,7.073240659849489e-13
Baosteel Group Xinjiang Bayi Iron & Steel Co Ltd,1,1,7300.0,0.0,1,1,China,Asia Pacific,30.34,1,931469524.817334,166883618017.1534,166883618017.1534,1.0,0.9383561643835616,43.852147,87.304639,Baosteel Group Xinjiang Bayi Iron and Steel Co Ltd,43.852147,87.304639,0.0,0.0
Rashtriya Ispat Nigam Ltd,1,1,7300.0,0.0,1,1,India,Asia Pacific,37.0,1,4255549611.1018696,27847472746.96944,27847472746.96944,1.0,1.0,17.612846000000005,83.191918,RINL Vizag Steel plant,17.612846,83.191918,3.5366203299247443e-13,3.5366203299247443e-13
Shaanxi LONG MEN IRON&STEEL Co Ltd,1,1,7200.0,2300.0,1,1,China,Asia Pacific,18.66,1,1050556946.8883605,14744904558.483444,14744904558.483444,1.0,1.0,35.618466,110.575788,Shaanxi Longmen Steel Co Ltd,35.618466,110.575788,0.0,0.0
Hebei Anfeng Iron & Steel Co Ltd,1,1,7100.0,0.0,1,1,China,Asia Pacific,24.0,1,301142693.52749974,17169324513.485844,17169324513.485844,1.0,1.0,39.65849000000001,118.894804,Hebei Anfeng Iron and Steel Co Ltd,39.65849,118.894804,7.073240659849489e-13,7.073240659849489e-13
Qian'an City Jiujiang Wire Co Ltd,1,1,7079.0,0.0,1,1,China,Asia Pacific,24.0,1,1205952791.2560177,26184257508.520588,26184257508.520588,1.0,0.7881056646418986,39.95220900000001,118.559444,Qian an Jiujiang Wire Co Ltd,39.952209,118.559444,7.073240659849489e-13,7.073240659849489e-13
Yunnan Yuxi Iron and Steel Group Yukun Iron and Steel Co Ltd,1,1,7042.0,0.0,1,1,China,Asia Pacific,12.09,1,932314590.9645125,19905614083.66219,19905614083.66219,1.0,1.0,24.465883999999996,102.543682,Yunnan Yuxi Iron and Steel Group Yukun Iron and Steel Co Ltd,24.465884,102.543682,3.5366203299247443e-13,3.5366203299247443e-13
Dexin Steel Pte Ltd,1,1,7000.0,14000.0,1,1,Indonesia,Asia Pacific,6.0,0,,,,0.0,1.0,-2.829514,122.174896,Dexin Steel Morowali plant,-2.829514,122.174896,0.0,0.0
Sansteel Minguang Co Ltd Fujian,1,1,6799.0,0.0,1,1,China,Asia Pacific,25.0,1,3154692864.404899,8440845980.476139,8440845980.476138,1.0,1.0,26.261109,117.614709,Sansteel Minguang Co Ltd Fujian plant,26.261109,117.614709,0.0,0.0
Jiangyin Xingcheng SPECIAL Steel Works Co Ltd,1,1,6797.0,1225.0,1,1,China,Asia Pacific,33.0,1,4429745806.121701,146594289861.64615,146594289861.64615,1.0,0.8680300132411358,31.950190999999997,120.32844900000002,Jiangyin Xingcheng Special Steel Works Co Ltd,31.950191,120.328449,7.073240659849489e-13,7.073240659849489e-13
ArcelorMittal Atlantique et Lorraine SAS,2,1,6750.0,2250.0,1,1,France,Europe,87.5,0,,,,0.0,1.0,51.04127400000001,2.2929479999999995,ArcelorMittal Dunkerque steel plant,51.041274,2.292948,333.5136290921516,7.078700139612811e-13
Tianjin Iron and Steel Group Co Ltd,1,1,6650.0,0.0,1,1,China,Asia Pacific,91.0,1,7120436820.791538,420171486451.8294,420171486451.8294,1.0,0.6992481203007519,39.03108300000001,117.49924599999999,Tianjin Iron and Steel Group Co Ltd,39.031083,117.499246,7.073240659849489e-13,7.073240659849489e-13
Kobe Steel Ltd,2,1,6591.0,0.0,1,1,Japan,Asia Pacific,57.0,2,34081805321.518963,843773610371.6078,254696791275.5746,1.0,1.0,34.720268,134.826275,Kobe Kakogawa Works steel plant,34.720268,134.826275,38.519819676259914,0.0
ArcelorMittal México SA de CV,1,1,6500.0,0.0,1,1,Mexico,North America,49.29,0,,,,0.0,0.38461538461538464,17.930688000000004,-102.201498,ArcelorMittal Lázaro Cárdenas steel plant,17.930688,-102.201498,7.073240659849489e-13,7.073240659849489e-13
SSAB AB,3,3,6413.0,6600.0,2,1,"Finland, Sweden",Europe,85.0,0,,,,0.0,0.9979728676126618,63.61150350276322,21.685975158807274,SSAB Raahe steel plant,64.651111,24.418544,601.0315966094578,175.8670157684144
Jingye Iron and Steel Co Ltd,1,1,6400.0,0.0,1,1,China,Asia Pacific,30.0,1,310050323.594974,4617509693.497881,4617509693.497881,1.0,1.0,38.391372,114.139998,Jingye Iron and Steel Co Ltd,38.391372,114.139998,0.0,0.0
Jindal Steel Odisha Ltd,1,1,6300.0,12900.0,1,1,India,Asia Pacific,0.47,1,322827125.6345241,4860049580.14285,4860049580.14285,1.0,1.0,20.874712999999996,84.944082,JSOL Angul steel plant,20.874713,84.944082,3.5366203299247443e-13,3.5366203299247443e-13
Gerdau Ameristeel Corp,8,7,6293.0,150.0,2,1,"Canada, United States",North America,45.5,0,,,,0.0,0.0,37.387712099757486,-86.95246164805639,Gerdau Midlothian Steel Mill,32.457544,-97.034246,1069.3056412787655,1069.3056412787655
Companhia Siderúrgica Nacional SA,1,1,6251.0,0.0,1,1,Brazil,Central & South America,80.0,0,,,,0.0,0.9200127979523276,-22.512631,-44.11287,CSN Volta Redonda steel plant,-22.512631,-44.11287,0.0,0.0
Tosyali Ironsteel Industry Algerie SpA,1,1,6200.0,0.0,1,1,Algeria,Africa,13.0,0,,,,0.0,0.0,35.770912,-0.263031,Tosyali Algerie Oran steel plant,35.770912,-0.263031,0.0,0.0
Fujian Sanbao Steel Co Ltd,1,1,6196.0,0.0,1,1,China,Asia Pacific,27.0,1,1437201755.3926136,56119285310.91528,56119285310.91529,1.0,0.7456423499031634,24.635769000000003,117.603677,Fujian Sanbao Steel Co Ltd,24.635769,117.603677,3.5366203299247443e-13,3.5366203299247443e-13
Dragon Steel Corp,1,1,6081.0,0.0,1,1,Taiwan,Asia Pacific,33.0,0,,,,0.0,0.8223976319684262,24.226896999999997,120.49391100000001,Dragon Steel Taichung steel plant,24.226897,120.493911,3.5366203299247443e-13,3.5366203299247443e-13
Guangxi Guixin Steel Group Co Ltd,1,1,6050.0,0.0,1,1,China,Asia Pacific,33.0,1,90031801.82740928,476301192.8009216,476301192.8009216,1.0,0.6694214876033058,23.978962,111.735523,Guangxi Guixin Iron and Steel Group Co Ltd,23.978962,111.735523,0.0,0.0
Chengyu Vanadium & Titanium Technology Co Ltd,1,1,6050.0,2000.0,1,1,China,Asia Pacific,19.46,1,69319122.10205877,1434232054.946687,1434232054.946687,1.0,1.0,29.732143000000008,104.504339,Chengyu Vanadium and Titanium Technology Co Ltd,29.732143,104.504339,7.073240659849489e-13,7.073240659849489e-13
Big River Steel LLC,1,1,6022.0,0.0,1,1,United States,North America,10.0,0,,,,0.0,0.0,35.644264,-89.941659,U.S. Steel Big River Steel plant,35.644264,-89.941659,0.0,0.0
Qazaqstan Steel Group LLP,1,1,6000.0,0.0,1,1,Kazakhstan,Eurasia,66.0,0,,,,0.0,1.0,50.031766,72.994863,Qarmet steel plant,50.031766,72.994863,0.0,0.0
Saudi Iron and Steel Co,1,1,6000.0,0.0,1,1,Saudi Arabia,Middle East,47.0,0,,,,0.0,0.0,27.018411,49.576356000000004,SABIC Hadeed Al Jubail steel plant,27.018411,49.576356,6.30127139170429e-13,6.30127139170429e-13
Toscelik Profil ve Sac Endustrisi AS,2,2,6000.0,0.0,1,1,Türkiye,Europe,10.0,0,,,,0.0,0.0,36.79762425524037,36.17971842099067,Toscelik Iskenderun steel plant,36.687943,36.214871,25.18366811144511,12.591809462186044
Voestalpine Stahl GmbH,1,1,6000.0,1600.0,1,1,Austria,Europe,86.0,0,,,,0.0,1.0,48.274023,14.334340000000001,Voestalpine Stahl Linz steel plant,48.274023,14.33434,0.0,0.0
Lingyuan Iron & Steel Co Ltd,1,1,5994.0,0.0,1,1,China,Asia Pacific,31.8,1,1351875952.0510519,5426297115.734425,5426297115.734425,1.0,1.0,41.271048,119.41374,Lingyuan Iron and Steel Co Ltd,41.271048,119.41374,0.0,0.0
Panzhihua Steel Group Panzhihua Steel Vanadium Co Ltd,1,1,5900.0,0.0,1,1,China,Asia Pacific,61.0,1,9319315191.657978,21065171303.136433,21065171303.136433,1.0,1.0,26.565265000000004,101.673737,Pangang Group Panzhihua Steel Vanadium Co Ltd,26.565265,101.673737,3.5366203299247443e-13,3.5366203299247443e-13
Zenith Steel Group (Nantong) Co Ltd,1,1,5850.0,750.0,1,1,China,Asia Pacific,4.0,1,1230988127.1191046,5264441163.741129,5264441163.741129,1.0,1.0,32.133954,121.513173,Zenith Steel Group Nantong Co Ltd,32.133954,121.513173,0.0,0.0
Iskenderun Demir ve Celik AŞ,1,1,5800.0,2500.0,1,1,Türkiye,Europe,51.0,0,,,,0.0,1.0,36.735672,36.204581,Isdemir Payas steel plant,36.735672,36.204581,0.0,0.0
Chelyabinskiy Metallurgicheskiy Kombinat PJSC,1,1,5799.0,0.0,1,1,Russia,Eurasia,83.0,0,,,,0.0,0.6896016554578376,55.27073000000001,61.436492,Mechel Chelyabinsk Metallurgical Plant,55.27073,61.436492,7.073240659849489e-13,7.073240659849489e-13
Tangshan Ganglu Iron & Steel Co Ltd,1,1,5614.0,1350.0,1,1,China,Asia Pacific,24.0,1,392661136.5966965,7991515748.939623,7991515748.939622,1.0,1.0,40.183913,118.073913,Tangshan Ganglu Iron and Steel Co Ltd,40.183913,118.073913,0.0,0.0
Laiwu Steel Yinshan Section Co Ltd,1,1,5600.0,0.0,1,1,China,Asia Pacific,22.15,1,1723461254.4344203,22364899706.994675,22364899706.994675,1.0,1.0,36.106143,117.82010800000002,Laiwu Iron and Steel Group Yinshan Section Steel Co Ltd,36.106143,117.820108,0.0,0.0
Hebei Puyang Iron and Steel Co Ltd,1,1,5567.0,0.0,1,1,China,Asia Pacific,34.0,1,313791587.31473416,9183725242.049364,9183725242.049364,1.0,1.0,36.733675000000005,113.925995,Hebei Puyang Iron and Steel Co Ltd,36.733675,113.925995,7.073240659849489e-13,7.073240659849489e-13
Jingye (Yingkou) Medium Plate Co Ltd,1,1,5500.0,0.0,1,1,China,Asia Pacific,23.67,1,1444886964.8755352,50661923556.03532,50661923556.03532,1.0,1.0,40.671136,122.395441,Jingye (Yingkou) Medium Plate Co Ltd,40.671136,122.395441,0.0,0.0
Promsort LLC,3,3,5500.0,0.0,1,1,Russia,Eurasia,21.0,0,,,,0.0,0.36363636363636365,55.906252116302845,45.173867054927314,IMH Tula steel plant,54.156726,37.725551,911.4479781025796,512.6608719022128
Tangshan Donghai Iron and Steel Group Co Ltd,1,1,5499.0,0.0,1,1,China,Asia Pacific,23.0,1,770999040.1643324,37003524212.316574,37003524212.316574,1.0,1.0,39.748373,118.624794,Tangshan Donghai Iron and Steel Group Co Ltd,39.748373,118.624794,0.0,0.0
Alchevsk Metallurgical Plant PJSC,1,1,5472.0,0.0,1,1,Ukraine,Europe,130.0,0,,,,0.0,1.0,48.478111,38.77078699999999,Alchevsk Metallurgical Plant,48.478111,38.770787,4.688894572874635e-13,4.688894572874635e-13
Jiangsu Province Binxin Steel Group Co Ltd,1,1,5400.0,0.0,1,1,China,Asia Pacific,18.05,1,3627723888.232499,8546404266.794768,8546404266.794768,1.0,1.0,35.09556,119.27998899999999,Jiangsu Binxin Steel Group Co Ltd,35.09556,119.279989,0.0,0.0
ArcelorMittal España SA,2,2,5400.0,1100.0,1,1,Spain,Europe,65.5,0,,,,0.0,1.0,43.5481672403491,-5.841319389723965,ArcelorMittal Asturias (Aviles) steel plant,43.554741,-5.87259,9.183819703841152,2.6239476522648277
Zhongxin Iron and Steel Group Co Ltd,1,1,5400.0,0.0,1,1,China,Asia Pacific,22.34,1,2852869883.3872247,11632354500.728123,11632354500.728123,1.0,1.0,34.368618,118.31555999999999,Zhongxin Iron and Steel Group Co Ltd,34.368618,118.31556,0.0,0.0
